facility_name,suburb,postcode,lat,long,formatted_address
BURWOOD POLICE STATION,Burwood,3125,-37.85088379899997,145.098177791,64 BURWOOD HIGHWAY
CAMBERWELL POLICE STATION,Camberwell,3124,-37.833215371999984,145.059226232,311-315 CAMBERWELL ROAD
CAMPERDOWN POLICE STATION,Camperdown,3260,-38.230516696999985,143.146095413,49 FERGUSSON STREET
CANN RIVER POLICE STATION,Cann River,3890,-37.56472879399996,149.15223276100005,6 MONARO HIGHWAY
CAROLINE SPRINGS POLICE STATION,Caroline Springs,3023,-37.730720032999955,144.7412240860001,221-223 CAROLINE SPRINGS BOULEVARD
DOOKIE POLICE STATION,Dookie,3646,-36.330448901999944,145.68570374600006,26 QUEEN STREET
DROMANA POLICE STATION,Dromana,3936,-38.33473170899998,144.961051622,321 POINT NEPEAN ROAD
DROUIN POLICE STATION,Drouin,3818,-38.13021266299995,145.84932379600002,184 PRINCES WAY
DRYSDALE POLICE STATION,Drysdale,3222,-38.174969259999955,144.56976409900005,21-27 EVERSLEY STREET
DUNKELD POLICE STATION,Dunkeld,3294,-37.64998019999996,142.3450426060001,67-69 PARKER STREET
DUNOLLY POLICE STATION,Dunolly,3472,-36.85712091099998,143.73365404000003,9 BULL STREET
ECHUCA POLICE STATION,Echuca,3564,-36.11909001599997,144.74487200500005,7-11 DICKSON STREET
EDENHOPE POLICE STATION,Edenhope,3318,-37.036390093999955,141.2928682280001,3-5 ORME STREET
EILDON POLICE STATION,Eildon,3713,-37.232276266999975,145.91032253900005,22 MAIN STREET
ELMHURST POLICE STATION,Elmhurst,3469,-37.180842912999935,143.2505068190001,25 HIGH STREET
ELMORE POLICE STATION,Elmore,3558,-36.495993141999975,144.61103433000005,58 HERVEY STREET
ELTHAM POLICE STATION,Eltham,3095,-37.71344720299993,145.1506374700001,21 PRYOR STREET
EMERALD POLICE STATION,Emerald,3782,-37.93051106499996,145.44392646000006,386-390 BELGRAVE-GEMBROOK ROAD
ENDEAVOUR HILLS POLICE STATION,Endeavour Hills,3802,-37.975662962999934,145.26167564500008,80 HEATHERTON ROAD
EPPING POLICE STATION,Epping,3076,-37.64674203799996,145.02589162100003,785 HIGH STREET
POLICE AIRWING POLICE STATION,Essendon Fields,3041,-37.71984540899996,144.8988635930001,12 GLOBAL AVENUE
HEALESVILLE POLICE STATION,Healesville,3777,-37.65662715299993,145.5108813050001,38 HARKER STREET
HEATHCOTE POLICE STATION,Heathcote,3523,-36.921714099999974,144.70912932500005,140 HIGH STREET
HEIDELBERG POLICE STATION,Heidelberg,3084,-37.75752019899994,145.0707300260001,9 JIKA STREET
HEYFIELD POLICE STATION,Heyfield,3858,-37.98099348299996,146.78568974600012,3 TEMPLE STREET
HEYWOOD POLICE STATION,Heywood,3304,-38.13349696399996,141.6289629050001,9 LINDSAY STREET
HOPETOUN POLICE STATION,Hopetoun,3396,-35.729287029999966,142.36470035800005,19 DENNYS STREET
HORSHAM POLICE STATION,Horsham,3400,-36.71406741199996,142.20122190000006,20 ROBERTS AVENUE
MOUNT HOTHAM POLICE STATION,Hotham Heights,3741,-36.992069681999965,147.14979972800006,89 GREAT ALPINE ROAD
HURSTBRIDGE POLICE STATION,Hurstbridge,3099,-37.63998203399996,145.19283606400006,790 HEIDELBERG-KINGLAKE ROAD
INGLEWOOD POLICE STATION,Inglewood,3517,-36.57572424899996,143.87005443400005,89 GRANT STREET
INVERLEIGH POLICE STATION,Inverleigh,3321,-38.10157586099996,144.05060418100004,92 HIGH STREET
INVERLOCH POLICE STATION,Inverloch,3996,-38.63111969299996,145.72746969500008,13 BAYVIEW AVENUE
BALLARAT NORTH POLICE STATION,Invermay Park,3350,-37.53577364999995,143.8551771430001,734 NORMAN STREET
JAMIESON POLICE STATION,Jamieson,3723,-37.30333476399994,146.1381824440001,22 NASH STREET
JEPARIT POLICE STATION,Jeparit,3423,-36.14334507099994,141.98877649200006,12 HINDMARSH STREET
KANIVA POLICE STATION,Kaniva,3419,-36.378870002999975,141.24205490200006,83 COMMERCIAL STREET
KATAMATITE POLICE STATION,Katamatite,3649,-36.07934438799998,145.6888369950001,34-36 BEEK STREET
KEILOR DOWNS POLICE STATION,Keilor Downs,3038,-37.72382811699998,144.80750122200004,1 COPERNICUS WAY
KERANG POLICE STATION,Kerang,3579,-35.73390676399998,143.9215074880001,16 ALBERT STREET
BOROONDARA POLICE STATION,Kew,3101,-37.79971090099997,145.05202946200006,34 HARP ROAD
KILMORE POLICE STATION,Kilmore,3764,-37.30706433599994,144.94985508700006,111 POWLETT STREET
KINGLAKE POLICE STATION,Kinglake,3763,-37.53153137999993,145.34048767000002,15 WHITTLESEA-KINGLAKE ROAD
KOO WEE RUP POLICE STATION,Koo Wee Rup,3981,-38.20023540899996,145.48910525000008,260 ROSSITER ROAD
KOONDROOK POLICE STATION,Koondrook,3580,-35.64465580399997,144.1313790260001,40 GUNBOWER PARADE
KOROIT POLICE STATION,Koroit,3282,-38.29259684999994,142.36787571500008,97 COMMERCIAL ROAD
KORUMBURRA POLICE STATION,Korumburra,3950,-38.43457558099993,145.82431173500004,24 BRIDGE STREET
KYABRAM POLICE STATION,Kyabram,3620,-36.313695639999935,145.0525638050001,304 ALLAN STREET
KYNETON POLICE STATION,Kyneton,3444,-37.24767423499998,144.45174339400012,16-22 JENNINGS STREET
LAKE BOGA POLICE STATION,Lake Boga,3584,-35.459549341999946,143.63168124600008,124 MURRAY VALLEY HIGHWAY
LAKE BOLAC POLICE STATION,Lake Bolac,3351,-37.71144267999995,142.8412662730001,200 MONTGOMERY STREET
LAKES ENTRANCE POLICE STATION,Lakes Entrance,3909,-37.87723500399994,147.9945395750001,1 ROADKNIGHT STREET
LANCEFIELD POLICE STATION,Lancefield,3435,-37.278538038999955,144.7362765250001,57 MAIN ROAD
CARRUM DOWNS POLICE STATION,Frankston North,3200,-38.114798263999944,145.173309398,42 BALLARTO ROAD
GEELONG POLICE STATION,Geelong,3220,-38.145358397999985,144.35692269000003,110 MERCER STREET
GISBORNE POLICE STATION,Gisborne,3437,-37.48538120699993,144.58564969700012,35-41 ROBERTSON STREET
GLEN WAVERLEY POLICE STATION,Glen Waverley,3150,-37.90364053199994,145.1640949670001,643 FERNTREE GULLY ROAD
GLENROWAN POLICE STATION,Glenrowan,3675,-36.463488274999975,146.2272591950001,72 GLADSTONE STREET
GOORNONG POLICE STATION,Goornong,3557,-36.61405438699995,144.50922697600004,56  
GORDON POLICE STATION,Gordon,3345,-37.57980743799993,144.1014971400001,86 MAIN STREET
GOROKE POLICE STATION,Goroke,3412,-36.718574186999945,141.4716841710001,58 MAIN STREET
LANDSBOROUGH POLICE STATION,Landsborough,3384,-37.00364110299995,143.12853447200007,2427 ARARAT-ST ARNAUD ROAD
LANG LANG POLICE STATION,Lang Lang,3984,-38.26530318199997,145.56346980400008,11 WESTERNPORT ROAD
LARA POLICE STATION,Lara,3212,-38.023466043999974,144.39604738200012,6-10 FOREST ROAD
LAVERS HILL POLICE STATION,Lavers Hill,3238,-38.68235395099998,143.385939634,64 GREAT OCEAN ROAD
LAVERTON POLICE STATION,Laverton,3028,-37.86326404899995,144.77140251800006,36 MAHER ROAD
LEARMONTH POLICE STATION,Learmonth,3352,-37.42229151099997,143.71535703200004,16 MCKAY STREET
LEONGATHA POLICE STATION,Leongatha,3953,-38.47501968299997,145.94595073800008,10 ANDERSON STREET
LEXTON POLICE STATION,Lexton,3352,-37.27525833699997,143.5138130690001,44 WILLIAMSON STREET
GREENSBOROUGH POLICE STATION,Greensborough,3088,-37.70404256799998,145.09615767200012,165 GRIMSHAW STREET
WAURN PONDS POLICE STATION,Grovedale,3216,-38.20254615199997,144.31263013700004,13-33 ROSSACK DRIVE
GUNBOWER POLICE STATION,Gunbower,3566,-35.95569876899998,144.3671147220001,42  
FAWKNER POLICE STATION,Hadfield,3046,-37.718174062999935,144.96233071300003,1151 SYDNEY ROAD
HALLS GAP POLICE STATION,Halls Gap,3381,-37.13652386799998,142.5192956400001,74 GRAMPIANS ROAD
HAMILTON POLICE STATION,Hamilton,3300,-37.74767010399995,142.02604667800006,17 THOMPSON STREET
HARROW POLICE STATION,Harrow,3317,-37.16419710599996,141.5939318080001,7 BLAIR STREET
HASTINGS POLICE STATION,Hastings,3915,-38.30786319899994,145.1846761090001,137 HIGH STREET
NEWSTEAD POLICE STATION,Newstead,3462,-37.10553992999996,144.0638073560001,35-37 PYRENEES HIGHWAY
NHILL POLICE STATION,Nhill,3418,-36.33319493699997,141.65594546700004,50 NELSON STREET
MELBOURNE NORTH POLICE STATION,North Melbourne,3051,-37.800307965999934,144.95456563300002,36-48 WRECKYN STREET
NORTHCOTE POLICE STATION,Northcote,3070,-37.76612345199993,145.00214674200004,48 DENNIS STREET
NUMURKAH POLICE STATION,Numurkah,3636,-36.08853486999993,145.44435919500006,19-21 SAXTON STREET
NYAH POLICE STATION,Nyah,3594,-35.17186531899995,143.37810885800002,2 HAYES HILL ROAD
OAKLEIGH POLICE STATION,Oakleigh,3166,-37.89828820699995,145.08774722300006,1 ATHERTON ROAD
BELLARINE POLICE STATION,Ocean Grove,3226,-38.266797818999976,144.52193920800005,67 THE PARADE 
MAFFRA POLICE STATION,Maffra,3860,-37.96494173299993,146.97335262500008,38 JOHNSON STREET
MALDON POLICE STATION,Maldon,3463,-36.995484775999955,144.0648737990001,18 FRANCIS STREET
MALLACOOTA POLICE STATION,Mallacoota,3892,-37.56045296499997,149.7509437550001,33 LEES ROAD
MALMSBURY POLICE STATION,Malmsbury,3446,-37.18837112099993,144.3850109560001,74 MOLLISON STREET
MALVERN POLICE STATION,Malvern,3144,-37.855883207999966,145.02961140500008,288 GLENFERRIE ROAD
MANANGATANG POLICE STATION,Manangatang,3546,-35.05036586899996,142.88271742000006,91 WATTLE STREET
MANSFIELD POLICE STATION,Mansfield,3722,-37.05230723699998,146.0869735220001,92 HIGH STREET
MARYBOROUGH POLICE STATION,Maryborough,3465,-37.047309852999945,143.7354682990001,55-61 CLARENDON STREET
MARYSVILLE POLICE STATION,Marysville,3779,-37.51051020399996,145.747808447,13 MURCHISON STREET
MEENIYAN POLICE STATION,Meeniyan,3956,-38.58005920699998,146.0106522630001,139-141 WHITELAW STREET
MELBOURNE EAST POLICE STATION,Melbourne,3000,-37.81655357099993,144.96637460300008,228-232 FLINDERS LANE
AFP - VIC - MELBOURNE OFFICE,Melbourne,3000,-37.81162299999994,144.95814300000006,383 LA TROBE STREET
MELBOURNE AIRPORT POLICE STATION,Melbourne Airport,3045,-37.67008544399994,144.8491179020001,20 ARRIVAL DRIVE
AFP - VIC AVIATION - MELBOURNE AIRPORT,Melbourne Airport,3045,-37.67654299999998,144.85058600000002,2 FRANCIS BRIGGS DRIVE
MELTON POLICE STATION,Melton,3337,-37.685833473999935,144.57794108400003,243-245 STATION ROAD
MERBEIN POLICE STATION,Merbein,3505,-34.167720921999944,142.06265826700007,119 COMMERCIAL STREET
