location_id,period_of_time,sensor_description,sensor_name,latitude,longitude,total_pedestrian_count,hours_covered,days_covered,suburb,postcode
24,2. Morning (6am-12pm),Spencer St-Collins St (North),Col620_T,-37.81887963,144.95449198,2339848,2165,363,Melbourne,3000
24,3. Afternoon (12pm-6pm),Spencer St-Collins St (North),Col620_T,-37.81887963,144.95449198,3563389,2164,362,Melbourne,3000
24,4. Night (6pm-12am),Spencer St-Collins St (North),Col620_T,-37.81887963,144.95449198,1792979,2173,363,Melbourne,3000
25,1. Late Night (12am-6am),Melbourne Convention Exhibition Centre,MCEC_T,-37.82401776,144.95604426,94887,2139,358,South Wharf,3006
25,2. Morning (6am-12pm),Melbourne Convention Exhibition Centre,MCEC_T,-37.82401776,144.95604426,1285466,2155,365,South Wharf,3006
25,3. Afternoon (12pm-6pm),Melbourne Convention Exhibition Centre,MCEC_T,-37.82401776,144.95604426,2948680,2148,358,South Wharf,3006
25,4. Night (6pm-12am),Melbourne Convention Exhibition Centre,MCEC_T,-37.82401776,144.95604426,1429860,2148,358,South Wharf,3006
27,1. Late Night (12am-6am),QV Market-Peel St,Vic_T,-37.80606888,144.95644692,31710,1922,322,Melbourne,3000
27,2. Morning (6am-12pm),QV Market-Peel St,Vic_T,-37.80606888,144.95644692,331548,1934,323,Melbourne,3000
27,3. Afternoon (12pm-6pm),QV Market-Peel St,Vic_T,-37.80606888,144.95644692,573018,1934,323,Melbourne,3000
27,4. Night (6pm-12am),QV Market-Peel St,Vic_T,-37.80606888,144.95644692,281526,1938,323,Melbourne,3000
28,1. Late Night (12am-6am),The Arts Centre,VAC_T,-37.82129925,144.96879309,74297,2153,365,Southbank,3006
28,2. Morning (6am-12pm),The Arts Centre,VAC_T,-37.82129925,144.96879309,1442846,2178,363,Southbank,3006
28,3. Afternoon (12pm-6pm),The Arts Centre,VAC_T,-37.82129925,144.96879309,3284699,2178,363,Southbank,3006
28,4. Night (6pm-12am),The Arts Centre,VAC_T,-37.82129925,144.96879309,1355925,2148,361,Southbank,3006
29,1. Late Night (12am-6am),St Kilda Rd-Alexandra Gardens,AG_T,-37.8199817,144.96872865,62635,2154,365,Melbourne,3000
