latitude,longitude,ext_id,emitted_lux_level,postcode,locality
-37.81933699978824,144.94742100039122,105927,99.316,3008,DOCKLANDS
-37.819339999499505,144.9474229996196,105926,99.316,3008,DOCKLANDS
-37.81934299953571,144.94742599967506,105925,99.316,3008,DOCKLANDS
-37.81934499987325,144.94742800046086,105924,99.316,3008,DOCKLANDS
-37.81934799990935,144.94743100051673,105923,97.654,3008,DOCKLANDS
-37.81935099962046,144.9474329997458,105922,86.413,3008,DOCKLANDS
-37.81935399965643,144.94743599980214,105921,75.953,3008,DOCKLANDS
-37.81935699969234,144.9474389998587,105920,64.418,3008,DOCKLANDS
-37.819360000323854,144.94744100019884,105919,56.891,3008,DOCKLANDS
-37.81936300035965,144.94744400025584,105918,48.876,3008,DOCKLANDS
-37.81936600009034,144.9474460006213,105917,43.597,3008,DOCKLANDS
-37.81936799981204,144.94744899998952,105916,40.371,3008,DOCKLANDS
-37.819370999542656,144.9474510003553,105915,38.807,3008,DOCKLANDS
-37.81937399957822,144.94745400041316,105914,33.92,3008,DOCKLANDS
-37.81937700018971,144.94745599961888,105913,32.551,3008,DOCKLANDS
-37.81938000022514,144.94745899967717,105912,31.183,3008,DOCKLANDS
-37.819382999955614,144.94746100004366,105911,26.979,3008,DOCKLANDS
-37.81938599999092,144.94746400010237,105910,22.972,3008,DOCKLANDS
-37.819388000036824,144.94746800029947,105909,18.671,3008,DOCKLANDS
-37.81939100007197,144.9474710003587,105908,17.204,3008,DOCKLANDS
-37.81939300011766,144.9474750005562,105907,16.52,3008,DOCKLANDS
-37.81939600015264,144.94747800061592,105906,15.054,3008,DOCKLANDS
-37.819398999591556,144.94748200039302,105905,13.49,3008,DOCKLANDS
-37.81940100021312,144.9474849997386,105904,12.805,3008,DOCKLANDS
-37.8194039996518,144.94748899951628,105903,12.023,3008,DOCKLANDS
-37.81940699968646,144.94749199957698,105902,11.73,3008,DOCKLANDS
-37.81940899973144,144.94749599977598,105901,11.73,3008,DOCKLANDS
-37.81941199976593,144.94749899983717,105900,11.632,3008,DOCKLANDS
