location_id,sensing_datetime,sensing_date,sensing_time,direction_1,direction_2,total_of_directions
19,2025-04-14T14:01:00+00:00,2025-04-15,00:01,2,1,3
19,2025-04-14T14:02:00+00:00,2025-04-15,00:02,1,4,5
19,2025-04-14T14:03:00+00:00,2025-04-15,00:03,0,1,1
19,2025-04-14T14:06:00+00:00,2025-04-15,00:06,1,2,3
23,2025-04-14T13:58:00+00:00,2025-04-14,23:58,6,3,9
23,2025-04-14T14:00:00+00:00,2025-04-15,00:00,0,1,1
24,2025-04-14T13:56:00+00:00,2025-04-14,23:56,0,2,2
24,2025-04-14T13:58:00+00:00,2025-04-14,23:58,1,4,5
24,2025-04-14T13:59:00+00:00,2025-04-14,23:59,0,2,2
24,2025-04-14T14:00:00+00:00,2025-04-15,00:00,0,2,2
24,2025-04-14T14:02:00+00:00,2025-04-15,00:02,1,2,3
24,2025-04-14T14:03:00+00:00,2025-04-15,00:03,1,0,1
27,2025-04-14T13:55:00+00:00,2025-04-14,23:55,2,0,2
30,2025-04-14T13:55:00+00:00,2025-04-14,23:55,0,3,3
30,2025-04-14T13:59:00+00:00,2025-04-14,23:59,5,0,5
30,2025-04-14T14:02:00+00:00,2025-04-15,00:02,0,3,3
30,2025-04-14T14:07:00+00:00,2025-04-15,00:07,1,2,3
35,2025-04-14T13:55:00+00:00,2025-04-14,23:55,1,2,3
35,2025-04-14T13:57:00+00:00,2025-04-14,23:57,2,5,7
35,2025-04-14T13:58:00+00:00,2025-04-14,23:58,3,1,4
35,2025-04-14T13:59:00+00:00,2025-04-14,23:59,4,1,5
35,2025-04-14T14:04:00+00:00,2025-04-15,00:04,1,0,1
35,2025-04-14T14:06:00+00:00,2025-04-15,00:06,1,0,1
35,2025-04-14T14:08:00+00:00,2025-04-15,00:08,0,1,1
49,2025-04-14T13:55:00+00:00,2025-04-14,23:55,1,1,2
49,2025-04-14T14:00:00+00:00,2025-04-15,00:00,1,2,3
49,2025-04-14T14:04:00+00:00,2025-04-15,00:04,3,2,5
49,2025-04-14T14:05:00+00:00,2025-04-15,00:05,1,0,1
51,2025-04-14T14:03:00+00:00,2025-04-15,00:03,2,0,2
51,2025-04-14T14:05:00+00:00,2025-04-15,00:05,1,0,1
51,2025-04-14T14:08:00+00:00,2025-04-15,00:08,2,0,2
52,2025-04-14T13:59:00+00:00,2025-04-14,23:59,1,0,1
52,2025-04-14T14:00:00+00:00,2025-04-15,00:00,0,4,4
52,2025-04-14T14:04:00+00:00,2025-04-15,00:04,0,2,2
52,2025-04-14T14:07:00+00:00,2025-04-15,00:07,0,1,1
52,2025-04-14T14:09:00+00:00,2025-04-15,00:09,1,0,1
53,2025-04-14T14:05:00+00:00,2025-04-15,00:05,0,1,1
56,2025-04-14T14:07:00+00:00,2025-04-15,00:07,0,1,1
58,2025-04-14T13:55:00+00:00,2025-04-14,23:55,0,2,2
58,2025-04-14T13:59:00+00:00,2025-04-14,23:59,0,1,1
58,2025-04-14T14:01:00+00:00,2025-04-15,00:01,1,2,3
58,2025-04-14T14:06:00+00:00,2025-04-15,00:06,1,1,2
58,2025-04-14T14:08:00+00:00,2025-04-15,00:08,1,1,2
62,2025-04-14T13:56:00+00:00,2025-04-14,23:56,0,1,1
62,2025-04-14T14:04:00+00:00,2025-04-15,00:04,2,0,2
62,2025-04-14T14:05:00+00:00,2025-04-15,00:05,1,4,5
62,2025-04-14T14:06:00+00:00,2025-04-15,00:06,4,0,4
62,2025-04-14T14:09:00+00:00,2025-04-15,00:09,2,1,3
63,2025-04-14T14:01:00+00:00,2025-04-15,00:01,0,1,1
67,2025-04-14T13:59:00+00:00,2025-04-14,23:59,0,1,1
67,2025-04-14T14:05:00+00:00,2025-04-15,00:05,0,2,2
67,2025-04-14T14:06:00+00:00,2025-04-15,00:06,0,1,1
79,2025-04-14T13:56:00+00:00,2025-04-14,23:56,3,0,3
79,2025-04-14T13:59:00+00:00,2025-04-14,23:59,1,0,1
